iter	Passed	Remaining
0	6	6839
1	14	7395
2	20	6790
3	28	7037
4	35	6988
5	43	7138
6	49	6992
7	54	6766
8	63	6969
9	68	6825
10	77	6928
11	83	6852
12	91	6927
13	97	6857
14	102	6739
15	111	6867
16	119	6891
17	127	6980
18	134	6920
19	141	6956
20	147	6886
21	152	6801
22	160	6797
23	165	6725
24	171	6698
25	178	6673
26	182	6591
27	189	6587
28	194	6516
29	199	6441
30	205	6428
31	210	6357
32	214	6297
33	221	6287
34	225	6226
35	230	6169
36	236	6143
37	240	6099
38	245	6054
39	250	6014
40	256	6001
41	261	5959
42	266	5923
43	272	5911
44	276	5875
45	282	5850
46	288	5842
47	292	5804
48	297	5774
49	303	5770
50	308	5739
51	313	5710
52	319	5711
53	324	5686
54	330	5684
55	337	5685
56	342	5660
57	347	5643
58	354	5653
59	360	5645
60	367	5660
61	373	5656
62	379	5644
63	386	5652
64	392	5639
65	398	5644
66	404	5628
67	409	5613
68	416	5619
69	421	5604
70	427	5589
71	433	5592
72	439	5579
73	444	5566
74	451	5571
75	457	5557
76	464	5565
77	471	5567
78	476	5552
79	483	5555
80	488	5540
81	494	5536
82	500	5524
83	504	5504
84	509	5483
85	515	5481
86	520	5462
87	525	5444
88	531	5441
89	536	5422
90	540	5403
91	547	5401
92	552	5387
93	557	5375
94	563	5372
95	569	5363
96	574	5349
97	581	5354
98	587	5343
99	595	5360
100	602	5365
101	609	5364
102	617	5375
103	626	5395
104	634	5412
105	645	5447
106	652	5448
107	664	5486
108	671	5489
109	682	5524
110	688	5510
111	697	5531
112	709	5569
113	717	5572
114	736	5664
115	747	5698
116	759	5729
117	765	5723
118	775	5738
119	780	5725
120	785	5709
121	796	5734
122	805	5745
123	814	5754
124	825	5777
125	832	5775
126	845	5812
127	856	5834
128	863	5831
129	873	5846
130	880	5838
131	890	5858
132	899	5864
133	911	5892
134	923	5919
135	937	5953
136	943	5944
137	954	5963
138	961	5953
139	970	5963
140	976	5951
141	984	5951
142	990	5934
143	996	5922
144	1005	5931
145	1012	5920
146	1021	5926
147	1027	5912
148	1036	5921
149	1042	5904
150	1059	5958
151	1070	5972
152	1076	5961
153	1085	5964
154	1091	5949
155	1101	5959
156	1107	5947
157	1116	5948
158	1121	5933
159	1130	5937
160	1141	5948
161	1152	5961
162	1158	5946
163	1166	5946
164	1175	5950
165	1186	5960
166	1193	5951
167	1205	5971
168	1214	5974
169	1220	5958
170	1228	5953
171	1233	5938
172	1238	5922
173	1246	5915
174	1251	5899
175	1256	5883
176	1266	5886
177	1272	5878
178	1285	5895
179	1293	5892
180	1300	5885
181	1308	5882
182	1315	5871
183	1322	5866
184	1331	5865
185	1339	5860
186	1347	5857
187	1363	5887
188	1379	5921
189	1390	5925
190	1398	5922
191	1407	5924
192	1414	5912
193	1422	5910
194	1430	5905
195	1442	5917
196	1450	5913
197	1460	5914
198	1466	5904
199	1475	5900
200	1480	5885
201	1488	5878
202	1495	5870
203	1504	5872
204	1514	5872
205	1525	5881
206	1534	5876
207	1548	5894
208	1559	5901
209	1570	5908
210	1577	5897
211	1585	5894
212	1596	5898
213	1672	6142
214	1703	6221
215	1736	6302
216	1771	6393
217	1778	6380
218	1789	6379
219	1795	6364
220	1804	6359
221	1810	6346
222	1820	6343
223	1827	6329
224	1868	6435
225	1889	6472
226	1900	6471
227	1907	6459
228	1917	6455
229	1923	6438
230	1933	6437
231	1939	6420
232	1949	6416
233	1955	6400
234	1971	6417
235	1982	6418
236	1989	6403
237	1998	6399
238	2005	6385
239	2014	6380
240	2022	6369
241	2045	6407
242	2051	6391
243	2060	6385
244	2069	6378
245	2078	6369
246	2085	6358
247	2097	6358
248	2107	6357
249	2116	6348
250	2125	6341
251	2140	6353
252	2157	6370
253	2165	6358
254	2174	6352
255	2180	6338
256	2188	6328
257	2196	6316
258	2206	6313
259	2215	6304
260	2228	6309
261	2239	6308
262	2246	6293
263	2254	6285
264	2260	6269
265	2269	6261
266	2274	6245
267	2280	6229
268	2289	6221
269	2296	6210
270	2309	6212
271	2314	6195
272	2322	6184
273	2327	6168
274	2337	6161
275	2342	6144
276	2349	6132
277	2355	6116
278	2360	6099
279	2367	6087
280	2372	6069
281	2376	6052
282	2383	6039
283	2388	6022
284	2393	6005
285	2400	5993
286	2405	5976
287	2410	5959
288	2417	5946
289	2422	5929
290	2426	5912
291	2433	5899
292	2438	5883
293	2443	5866
294	2449	5853
295	2454	5836
296	2458	5820
297	2465	5807
298	2470	5791
299	2474	5774
300	2481	5763
301	2486	5746
302	2491	5730
303	2497	5718
304	2502	5702
305	2507	5686
306	2516	5679
307	2521	5665
308	2528	5655
309	2534	5641
310	2540	5627
311	2549	5622
312	2555	5609
313	2564	5603
314	2572	5594
315	2581	5587
316	2594	5590
317	2604	5586
318	2617	5588
319	2627	5583
320	2634	5573
321	2653	5587
322	2668	5592
323	2683	5598
324	2694	5595
325	2703	5589
326	2714	5586
327	2719	5572
328	2729	5567
329	2734	5552
330	2745	5548
331	2750	5533
332	2759	5527
333	2765	5514
334	2771	5501
335	2777	5488
336	2782	5473
337	2790	5465
338	2795	5450
339	2800	5435
340	2808	5427
341	2813	5413
342	2822	5407
343	2828	5393
344	2834	5380
345	2843	5374
346	2849	5362
347	2858	5354
348	2863	5341
349	2872	5334
350	2877	5321
351	2883	5307
352	2893	5303
353	2901	5295
354	2910	5287
355	2919	5280
356	2928	5274
357	2940	5273
358	2947	5262
359	2964	5270
360	2975	5266
361	2982	5256
362	2990	5248
363	3001	5245
364	3008	5233
365	3016	5225
366	3024	5216
367	3036	5215
368	3042	5203
369	3053	5199
370	3058	5184
371	3066	5176
372	3071	5163
373	3076	5149
374	3085	5143
375	3090	5129
376	3099	5122
377	3105	5110
378	3111	5098
379	3118	5087
380	3123	5073
381	3131	5066
382	3136	5052
383	3141	5039
384	3149	5031
385	3154	5017
386	3163	5010
387	3168	4997
388	3173	4984
389	3182	4977
390	3187	4964
391	3195	4956
392	3200	4943
393	3206	4932
394	3215	4924
395	3220	4912
396	3230	4906
397	3236	4894
398	3244	4886
399	3249	4874
400	3255	4863
401	3262	4853
402	3269	4843
403	3278	4836
404	3285	4826
405	3293	4819
406	3300	4808
407	3308	4800
408	3314	4789
409	3321	4779
410	3328	4770
411	3334	4759
412	3342	4751
413	3349	4740
414	3359	4735
415	3365	4724
416	3372	4715
417	3377	4703
418	3383	4691
419	3390	4681
420	3395	4669
421	3402	4659
422	3408	4649
423	3414	4638
424	3421	4628
425	3425	4616
426	3430	4603
427	3437	4593
428	3442	4581
429	3446	4569
430	3454	4559
431	3458	4547
432	3463	4535
433	3471	4526
434	3475	4514
435	3480	4502
436	3487	4493
437	3493	4482
438	3500	4473
439	3505	4460
440	3509	4449
441	3517	4440
442	3522	4428
443	3527	4417
444	3534	4408
445	3540	4397
446	3546	4387
447	3553	4377
448	3558	4366
449	3565	4357
450	3570	4346
451	3575	4335
452	3582	4325
453	3586	4313
454	3592	4302
455	3599	4293
456	3603	4282
457	3609	4271
458	3616	4262
459	3621	4251
460	3626	4240
461	3632	4230
462	3637	4218
463	3643	4208
464	3648	4198
465	3653	4187
466	3659	4177
467	3665	4167
468	3670	4156
469	3677	4147
470	3682	4136
471	3688	4126
472	3696	4118
473	3701	4108
474	3708	4098
475	3714	4089
476	3720	4079
477	3727	4070
478	3733	4060
479	3740	4051
480	3748	4044
481	3755	4036
482	3762	4027
483	3768	4017
484	3775	4008
485	3780	3998
486	3786	3988
487	3794	3981
488	3800	3971
489	3807	3962
490	3813	3952
491	3818	3942
492	3825	3934
493	3830	3924
494	3837	3914
495	3843	3905
496	3848	3894
497	3854	3885
498	3860	3876
499	3865	3865
500	3872	3856
501	3877	3846
502	3881	3835
503	3890	3828
504	3895	3818
505	3900	3807
506	3906	3798
507	3911	3788
508	3917	3778
509	3923	3769
510	3928	3759
511	3935	3750
512	3940	3740
513	3945	3730
514	3951	3721
515	3956	3711
516	3961	3701
517	3967	3691
518	3972	3682
519	3977	3671
520	3983	3662
521	3988	3652
522	3993	3642
523	4001	3634
524	4006	3624
525	4010	3614
526	4017	3605
527	4022	3595
528	4027	3585
529	4033	3576
530	4038	3567
531	4044	3558
532	4050	3549
533	4055	3539
534	4062	3530
535	4068	3521
536	4073	3512
537	4082	3505
538	4087	3495
539	4094	3487
540	4101	3479
541	4107	3470
542	4114	3462
543	4119	3453
544	4126	3445
545	4135	3438
546	4141	3430
547	4148	3421
548	4154	3412
549	4161	3404
550	4166	3395
551	4172	3386
552	4180	3378
553	4185	3369
554	4192	3361
555	4198	3352
556	4203	3342
557	4210	3335
558	4216	3326
559	4221	3316
560	4226	3307
561	4231	3298
562	4237	3289
563	4244	3281
564	4249	3271
565	4256	3264
566	4262	3255
567	4270	3247
568	4277	3239
569	4282	3230
570	4290	3223
571	4295	3214
572	4304	3207
573	4311	3199
574	4320	3193
575	4328	3186
576	4338	3180
577	4346	3173
578	4357	3168
579	4365	3161
580	4377	3156
581	4389	3152
582	4401	3148
583	4413	3144
584	4423	3138
585	4433	3131
586	4441	3124
587	4450	3118
588	4458	3111
589	4467	3104
590	4478	3099
591	4489	3094
592	4497	3086
593	4506	3079
594	4512	3071
595	4522	3065
596	4532	3059
597	4543	3054
598	4554	3049
599	4561	3040
600	4569	3033
601	4575	3024
602	4582	3017
603	4588	3008
604	4598	3002
605	4604	2993
606	4611	2985
607	4623	2980
608	4632	2974
609	4639	2966
610	4651	2961
611	4657	2952
612	4669	2947
613	4679	2941
614	4687	2934
615	4694	2926
616	4702	2918
617	4708	2910
618	4715	2902
619	4722	2894
620	4731	2887
621	4738	2879
622	4747	2872
623	4754	2865
624	4765	2859
625	4777	2854
626	4784	2846
627	4795	2840
628	4802	2832
629	4814	2827
630	4826	2822
631	4833	2814
632	4843	2808
633	4849	2799
634	4858	2792
635	4865	2784
636	4872	2776
637	4881	2769
638	4886	2760
639	4895	2753
640	4900	2744
641	4909	2737
642	4915	2729
643	4923	2721
644	4929	2713
645	4936	2704
646	4944	2697
647	4949	2688
648	4957	2680
649	4962	2672
650	4969	2664
651	4975	2655
652	4981	2647
653	4990	2640
654	4997	2632
655	5006	2625
656	5013	2617
657	5024	2611
658	5033	2604
659	5042	2597
660	5053	2591
661	5066	2587
662	5083	2583
663	5095	2578
664	5104	2571
665	5112	2563
666	5121	2556
667	5129	2549
668	5136	2541
669	5144	2533
670	5154	2527
671	5166	2521
672	5174	2514
673	5186	2508
674	5193	2500
675	5205	2494
676	5214	2488
677	5222	2480
678	5231	2473
679	5238	2465
680	5248	2458
681	5255	2450
682	5265	2443
683	5277	2438
684	5287	2431
685	5298	2425
686	5310	2419
687	5322	2413
688	5336	2409
689	5348	2402
690	5355	2395
691	5365	2388
692	5373	2380
693	5380	2372
694	5387	2364
695	5398	2358
696	5413	2353
697	5422	2346
698	5432	2339
699	5440	2331
700	5448	2324
701	5457	2316
702	5464	2308
703	5472	2300
704	5481	2293
705	5489	2286
706	5497	2278
707	5506	2271
708	5515	2263
709	5524	2256
710	5536	2250
711	5547	2243
712	5561	2238
713	5576	2233
714	5585	2226
715	5596	2219
716	5607	2213
717	5615	2205
718	5628	2199
719	5639	2193
720	5646	2184
721	5654	2177
722	5661	2169
723	5672	2162
724	5678	2153
725	5688	2146
726	5694	2138
727	5701	2130
728	5707	2121
729	5715	2113
730	5722	2105
731	5730	2097
732	5737	2090
733	5744	2081
734	5752	2073
735	5759	2065
736	5768	2058
737	5774	2050
738	5784	2042
739	5793	2035
740	5804	2028
741	5818	2023
742	5829	2016
743	5842	2010
744	5855	2004
745	5867	1997
746	5877	1990
747	5886	1983
748	5899	1976
749	5905	1968
750	5915	1961
751	5921	1952
752	5932	1945
753	5938	1937
754	5948	1930
755	5955	1922
756	5966	1915
757	5974	1907
758	5984	1900
759	5991	1892
760	6000	1884
761	6008	1876
762	6016	1868
763	6024	1860
764	6034	1853
765	6044	1846
766	6055	1839
767	6064	1832
768	6078	1825
769	6088	1818
770	6100	1811
771	6112	1805
772	6122	1798
773	6132	1790
774	6142	1783
775	6150	1775
776	6160	1768
777	6167	1759
778	6177	1752
779	6185	1744
780	6194	1737
781	6202	1729
782	6210	1721
783	6219	1713
784	6229	1706
785	6238	1698
786	6245	1690
787	6253	1682
788	6260	1674
789	6267	1666
790	6275	1658
791	6282	1649
792	6291	1642
793	6299	1634
794	6308	1626
795	6323	1620
796	6331	1612
797	6342	1605
798	6353	1598
799	6361	1590
800	6371	1582
801	6381	1575
802	6389	1567
803	6398	1559
804	6406	1552
805	6417	1544
806	6426	1536
807	6436	1529
808	6444	1521
809	6453	1513
810	6462	1505
811	6470	1498
812	6479	1490
813	6486	1482
814	6494	1474
815	6504	1466
816	6511	1458
817	6521	1450
818	6532	1443
819	6538	1435
820	6549	1428
821	6563	1421
822	6578	1414
823	6590	1407
824	6603	1400
825	6617	1394
826	6630	1387
827	6643	1380
828	6652	1372
829	6660	1364
830	6668	1356
831	6675	1347
832	6682	1339
833	6690	1331
834	6696	1323
835	6705	1315
836	6711	1307
837	6718	1298
838	6725	1290
839	6731	1282
840	6737	1273
841	6744	1265
842	6755	1258
843	6763	1250
844	6771	1242
845	6779	1234
846	6788	1226
847	6799	1218
848	6809	1211
849	6822	1203
850	6830	1195
851	6839	1188
852	6847	1180
853	6856	1172
854	6864	1164
855	6873	1156
856	6881	1148
857	6888	1140
858	6896	1132
859	6903	1123
860	6910	1115
861	6916	1107
862	6923	1099
863	6930	1090
864	6936	1082
865	6943	1074
866	6950	1066
867	6956	1057
868	6963	1049
869	6970	1041
870	6978	1033
871	6986	1025
872	6997	1017
873	7008	1010
874	7018	1002
875	7030	995
876	7041	987
877	7051	979
878	7064	972
879	7074	964
880	7084	956
881	7095	949
882	7104	941
883	7114	933
884	7123	925
885	7131	917
886	7141	909
887	7148	901
888	7155	893
889	7161	885
890	7168	876
891	7175	868
892	7181	860
893	7188	852
894	7195	844
895	7202	836
896	7211	828
897	7219	820
898	7228	812
899	7239	804
900	7252	796
901	7262	789
902	7275	781
903	7287	773
904	7296	765
905	7309	758
906	7319	750
907	7329	742
908	7341	734
909	7350	726
910	7360	719
911	7370	711
912	7378	703
913	7386	694
